EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-09 08:00:00-05:00,1.74,,
2025-10-09 06:00:00-04:00,1.53,1.71,11.87
2025-07-10 06:00:00-04:00,2.04,2.1,2.72
2025-04-09 06:00:00-04:00,0.4,0.37,-6.72
2025-01-10 06:00:00-05:00,1.74,1.85,6.18
2024-10-10 06:00:00-04:00,1.52,1.5,-1.16
2024-07-11 06:00:00-04:00,2.38,2.36,-0.78
2024-04-10 06:00:00-04:00,0.36,0.45,24.16
2024-01-12 06:00:00-05:00,1.16,1.28,9.88
2023-10-12 06:00:00-04:00,1.95,2.03,4.32
2023-07-13 06:00:00-04:00,2.4,2.68,11.61
2023-04-13 06:00:00-04:00,0.29,0.25,-13.21
2023-01-13 06:00:00-05:00,1.32,1.48,11.93
2022-10-13 06:00:00-04:00,1.53,1.51,-1.46
2022-07-13 06:00:00-04:00,1.72,1.44,-16.31
2022-04-13 06:00:00-04:00,-1.27,-1.23,3.1
2022-01-13 06:00:00-05:00,0.15,0.22,50.15
2021-10-13 07:00:00-04:00,0.15,0.3,96.53
2021-07-14 07:00:00-04:00,-1.39,-1.07,22.76
2021-04-15 08:00:00-04:00,-3.17,-3.55,-11.85
2021-01-14 07:00:00-05:00,-2.45,-2.53,-3.14
2020-10-13 08:00:00-04:00,-2.96,-3.3,-11.62
2020-07-14 07:00:00-04:00,-4.16,-4.43,-6.38
2020-04-22 07:00:00-04:00,-0.82,-0.51,37.74
2020-01-14 07:00:00-05:00,1.39,1.7,22.49
2019-10-10 07:00:00-04:00,2.27,2.32,2.39
2019-07-11 07:00:00-04:00,2.28,2.35,2.9
2019-04-10 07:00:00-04:00,0.91,0.96,5.08
2019-01-15 07:00:00-05:00,1.26,1.3,2.86
2018-10-11 07:00:00-04:00,1.74,1.8,3.18
2018-07-12 07:00:00-04:00,1.72,1.77,2.94
2018-04-12 07:00:00-04:00,0.73,0.74,1.95
2018-01-11 07:00:00-05:00,0.88,0.96,9.65
2017-10-11 07:00:00-04:00,1.53,1.57,2.73
2017-07-13 07:00:00-04:00,1.67,1.64,-1.61
2017-04-12 07:00:00-04:00,0.75,0.77,3.31
2017-01-12 07:00:00-05:00,0.82,0.82,-0.12
2016-10-13 07:00:00-04:00,1.65,1.7,3.16
2016-07-14 07:00:00-04:00,1.42,1.47,3.47
2016-04-14 07:00:00-04:00,1.3,1.32,1.7
2016-01-19 07:00:00-05:00,1.19,1.18,-0.76
2015-10-14 07:00:00-04:00,1.72,1.74,1.39
2015-07-15 07:00:00-04:00,1.21,1.27,4.9
2015-04-15 07:00:00-04:00,0.44,0.45,2.08
2015-01-20 07:00:00-05:00,0.77,0.78,1.54
2014-10-16 07:00:00-04:00,1.18,1.2,2.03
2014-07-23 07:00:00-04:00,1.04,1.04,0.43
2014-04-23 07:00:00-04:00,0.29,0.33,13.7
2014-01-21 07:00:00-05:00,0.64,0.65,1.68
2013-10-22 07:00:00-04:00,1.36,1.41,3.55
