EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 08:00:00-05:00,1.81,,
2025-10-21 06:00:00-04:00,2.07,2.19,5.6
2025-07-18 06:00:00-04:00,2.01,2.16,7.37
2025-04-22 06:00:00-04:00,1.77,1.88,6.42
2025-01-21 06:00:00-05:00,1.54,1.68,9.32
2024-10-22 06:00:00-04:00,1.9,1.98,4.13
2024-07-26 06:00:00-04:00,1.68,1.93,14.92
2024-04-30 06:00:00-04:00,2.11,2.39,13.15
2024-01-23 06:00:00-05:00,2.31,2.42,4.61
2023-10-24 06:00:00-04:00,2.35,2.68,14.23
2023-07-25 06:00:00-04:00,1.76,2.17,23.34
2023-04-25 06:00:00-04:00,1.6,1.97,23.44
2023-01-24 06:00:00-05:00,2.37,2.28,-3.81
2022-10-25 06:00:00-04:00,2.59,2.69,3.83
2022-07-26 06:00:00-04:00,2.44,2.48,1.65
2022-04-26 13:00:00-04:00,2.32,2.65,14.43
2022-01-25 06:00:00-05:00,2.02,2.31,14.6
2021-10-26 06:00:00-04:00,2.21,2.45,10.94
2021-07-27 06:00:00-04:00,2.28,2.59,13.77
2021-04-27 06:00:00-04:00,2.29,2.77,20.79
2021-01-26 06:00:00-05:00,2.17,2.38,9.79
2020-10-27 06:00:00-04:00,2.27,2.43,7.2
2020-07-28 06:00:00-04:00,1.8,1.78,-1.06
2020-04-28 07:00:00-04:00,2.01,2.16,7.31
2020-01-28 06:00:00-05:00,2.1,1.95,-7.23
2019-10-24 06:00:00-04:00,2.5,2.58,3.28
2019-07-25 06:00:00-04:00,2.07,2.13,2.81
2019-04-25 06:00:00-04:00,2.5,2.23,-10.83
2019-01-29 06:00:00-05:00,2.28,2.31,1.46
2018-10-23 07:00:00-04:00,2.7,2.58,-4.52
2018-07-24 07:00:00-04:00,2.6,2.59,-0.46
2018-04-24 07:00:00-04:00,2.48,2.5,0.63
2018-01-25 07:00:00-05:00,2.03,2.1,3.4
2017-10-24 07:00:00-04:00,2.21,2.33,5.37
2017-07-25 07:00:00-04:00,2.59,2.58,-0.39
2017-04-25 07:00:00-04:00,2.06,2.16,4.65
2017-01-24 07:00:00-05:00,1.87,1.88,0.43
2016-10-25 07:00:00-04:00,2.14,2.15,0.36
2016-07-26 07:00:00-04:00,2.07,2.08,0.56
2016-04-26 07:00:00-04:00,1.92,2.05,6.54
2016-01-26 07:00:00-05:00,1.62,1.66,2.19
2015-10-22 07:00:00-04:00,2.01,2.05,2.18
2015-07-23 07:00:00-04:00,1.99,2.02,1.26
2015-04-23 07:00:00-04:00,1.93,1.85,-4.21
2015-01-27 07:00:00-05:00,1.8,1.81,0.71
2014-10-23 07:00:00-04:00,1.96,1.98,0.94
2014-07-24 07:00:00-04:00,1.91,1.91,0.11
2014-04-24 07:00:00-04:00,1.8,1.79,-0.28
2014-01-30 07:00:00-05:00,1.62,1.62,0.28
2013-10-24 07:00:00-04:00,1.75,1.78,1.51
